id,japanese,english
1,彼女が欲しがっていた人形を買ってあげました。,I bought the doll she wanted.
2,彼が昨日食べたケーキはとても甘かったです。,The cake he ate yesterday was very sweet.
3,私はパーティーで会った女性に電話しました。,I called the woman that I met at the party.
4,私たちが先週末訪れた場所が好きです。,I like the place we visited last weekend.
5,私は彼が書いた手紙を読みました。,I read the letter that he wrote.
6,私たちが食べた夕食は美味しくありませんでした。,The dinner which we ate was not delicious.
7,彼は私が撮った写真を見ました。,He saw the photos I took.
8,私が昨日あなたに送ったメールは届きましたか。,Did the email I sent you arrive?
9,私たちが招待した友人たちはもうすぐ来ます。,The friends that we invited will come soon.
10,彼女が作った料理は健康的でした。,The dish she cooked was healthy.
