id,japanese,english
1,私はたった今昼食を作ったところです。,I have just cooked lunch.
2,あなたは今までに有名な人に会ったことがありますか。,Have you ever met a famous person?
3,私の父は昨日からずっと病気です。,My father has been sick since yesterday.
4,私たちはすでにチケットを買いました。,We have already bought the tickets.
5,彼らは3時間ずっとサッカーをしています。,They have played soccer for three hours.
6,あなたの姉はもう起きましたか。,Has your sister woken up yet?
7,私は以前に一度も納豆を食べたことがありません。,I have never eaten natto before.
8,私は鍵を失くしてしまいました。,I have lost my key.
9,私は10年前から彼を知っています。,I have known him for ten years.
10,彼女は何度も奈良を訪れたことがあります。,She has visited Nara many times.
11,彼はたった今新しい車を買ったところです。,He has just bought a new car.
12,私たちは午前10時からずっと公園にいます。,We have been in the park since 10 a.m.
13,ケンは公園に行ってしまいました。,Ken has gone to the park.
14,あなたはどのくらいの間この家に住んでいますか。,How long have you lived in this house?
15,私はまだ新聞を読んでいません。,I haven't read the newspaper yet.
16,私の兄は長い間ギターを欲しがっています。,My brother has wanted a guitar for a long time.
17,あなたは今までに野球をしたことがありますか。,Have you ever played baseball?
18,私はすでに車を洗いました。,I have already washed the car.
19,昨夜からずっと寒いです。,It has been cold since last night.
20,あなたは何回動物園へ行ったことがありますか。,How many times have you been to the zoo?
