id,japanese,english,word_options,correct_answer
1,彼女の顔は私には見覚えがあります。,"Her face is familiar (　　) me.","with, on, at, to",to
2,彼は会議に遅れました。,"He was late (　　) the meeting.","to, at, for, on",for
3,あなたは電車に乗り遅れるでしょう。,"You will be late (　　) the train.","to, at, for, on",for
4,その山の頂上は雪で覆われています。,"The top of the mountain is covered (　　) snow.","at, on, of, with",with
5,私の意見はあなたのものとは異なります。,"My opinion is different (　　) yours.","of, from, to, with",from
6,多くの人々が奇妙な病気で亡くなりました。,"Many people died (　　) a strange illness.","from, by, of, with",of
7,全てはあなたの決断次第です。,"Everything depends (　　) what you decide.","to, of, on, with",on
8,あなたはその結果に満足していますか？,"Are you satisfied (　　) the result.","for, with, at, to",with
9,私たちは突然のニュースに驚きました。,"We were surprised (　　) the sudden news.","to, with, at, by",at
10,このテーブルは木でできています。,"This table is made (　　) wood.","from, of, by, with",of
