id,japanese,english
1,この花はあの花より美しい。,This flower is more beautiful than that one.
2,テニスは野球より人気があります。,Tennis is more popular than baseball.
3,この数学の問題はあれより難しい。,This math problem is more difficult than that.
4,彼は世界で最も有名な歌手です。,He is the most famous singer in the world.
5,健康はお金より大切です。,Health is more important than money.
6,これは店で一番高価なカバンです。,This is the most expensive bag in the store.
7,英語は私にとって一番面白い教科です。,English is the most interesting subject for me.
8,彼は私より注意深く運転します。,He drives more carefully than I.
9,彼女はクラスで一番背が高い女の子の１人です。,She is one of the tallest girls in our class.
10,このビデオゲームはあれよりワクワクします。,This video game is more exciting than that one.
