日本文,英文
むこうで本を読んでいる少年は私の弟です。,The boy who is reading a book over there is my brother.
これは世界中で人気のある歌です。,This is a song which is popular all over the world.
その速く走ることができる犬は私たちのペットです。,The dog that can run fast is our pet.
私は毎日勉強する生徒を尊敬します。,I respect students who study every day.
彼女はいつも私を助けてくれる友人です。,She is a friend who always helps me.
これはとても多くの情報があるウェブサイトです。,This is a website which has a lot of information.
私は英語を上手に話すことができる人を探しています。,I am looking for a person who can speak English well.
その机の上にある時計を見て。,Look at the clock which is on the desk. 
その箱の中にあるおもちゃはあなたへのプレゼントです。,The toy that is in the box is a present for you.
毎日泳ぐ人々は健康になります。,People who swim every day become healthy.
私の母が焼いたケーキはとてもおいしかったです。,The cake which was baked by my mother was very delicious.
あれは長い歴史を持っている古い寺です。,That is an old temple that has a long history.
私は新しいアイデアを出すことができる学生が好きです。,I like students who can come up with new ideas.
窓のそばに立っている女性は誰ですか。,Who is the woman that is standing by the window?
これは多くの人に愛されている有名な絵です。,This is a famous painting which is loved by many people.
私たちは私たちを笑わせる物語が好きです。,We like stories that make us laugh.
その公園で遊んでいる子供たちはとても元気です。,The children who are playing in the park are very cheerful.
私はいつも親切な先生になりたいです。,I want to be a teacher who is always kind.
あの時あなたを呼んだ人は誰ですか。,Who was the person that called you then?
その門の前にある車は新しいです。,The car which is in front of the gate is new.
これは環境に優しい機械です。,This is a machine that is kind to the environment.
昨日図書館にいた男の子に会いたい。,I want to see the boy who was in the library yesterday.
ここで一番人気があるスポーツは野球です。,The sport which is the most popular here is baseball.
テーブルの上にある本は私のものです。,The book which is on the table is mine.
私は一生懸命働く人々を尊敬します。,I respect people who work very hard.
彼女は多くの言語を使える翻訳家です。,She is a translator who can use many languages.
これは水を電気に変えることができる道具です。,This is a tool that can change water into electricity.
私に話しかけてきた男性は古い友人でした。,The man who talked to me was my old friend.
彼が描いた絵は美術館に展示されています。,The picture which he drew is displayed in the museum.
あなたはその本を書いた作家を知っていますか。,Do you know the writer who wrote the book?
私はいつも笑顔の店員が好きです。,I like a clerk who is always smiling.
昨日届いた手紙はあなた宛てです。,The letter which arrived yesterday is for you.
彼は困っている人を助ける医者です。,He is a doctor who helps people who are in trouble.
あの山を覆っている雪はとても美しいです。,The snow that covers that mountain is very beautiful.
私の母が作ったこの料理は健康に良いです。,This dish which was cooked by my mother is good for health.
私は歌を歌うのが得意な友人がいます。,I have a friend who is good at singing songs.
私たちは新しい技術を発明する科学者が必要です。,We need scientists who invent new technology.
あの店で売られているシャツは安いです。,The shirts which are sold at that store are cheap.
私は私に真実を言う人々を信じます。,I believe people who tell me the truth.
あなたは中国で有名なその歌を聴いたことがありますか。,Have you heard the song which is famous in China?  
私は他人の気持ちを理解できる人になりたいです。,I want to be a person who can understand others' feelings.
あのベンチに座っている高齢の女性は私の祖母です。,The old woman who is sitting on that bench is my grandmother.
これは長い間使われている古い道具です。,This is an old tool that has been used for a long time.
彼はいつも他人に親切な少年です。,He is a boy who is always kind to others.
あの店で売っている靴はとても人気があります。,The shoes that are sold at that store are very popular.
これは私たちに希望を与えてくれる歌です。,This is a song that gives us hope.
私はいつも約束を守る友達が欲しいです。,I want a friend who always keeps promises.
私の家の近くにいる犬はいつも吠えています。,The dog that is near my house is always barking.
これは多くの異なる意見がある議論です。,This is a discussion which has many different opinions.
あれは重要な出来事を記録した文書です。,That is a document that records important events.
これは未来を変える力を持つ発明です。,This is an invention that has the power to change the future.
あの本棚にあるすべての本は興味深いです。,All the books that are on that bookshelf are interesting.
彼女は自分のミスから学ぶことができる人です。,She is a person who can learn from her mistakes.
あの橋を渡っている人々は急いでいます。,The people who are crossing that bridge are in a hurry.
その袋の中に入っている果物は新鮮です。,The fruit which is in the bag is fresh.
一番早く来た生徒は誰ですか。,Who is the student that came earliest?
壁にあるそのカレンダーは古いです。,The calendar which is on the wall is old.
私たちは世界中で歌われているその歌を歌いたいです。,We want to sing the song that is sung all over the world.
隣の部屋から聞こえる音は何ですか。,What is the sound which is coming from the next room?
この公園にある花はとても良い香りがします。,The flowers which are in this park smell very nice.
