id,japanese,english
1,私は今朝から何も食べていません.,I haven't eaten anything since this morning.
2,彼はちょうど宿題を終えたところです.,He has just finished his homework.
3,あなたは今まで一度でも京都に行ったことがありますか？,Have you ever been to Kyoto?
4,彼女は鍵をなくしてしまいました.,She has lost her key.
5,あなたはその本を何回読んだことがありますか。,How many times have you read that book?
6,私たちはその映画をすでに2回観ました.,We have already watched the movie twice.
7,彼はニューヨークへ行ってしまいました.,He has gone to New York.
8,彼女はまだ夕食を作っていません.,She hasn't cooked dinner yet.
9,私は2015年からこの街に住んでいます.,I have lived in this town since 2015.
10,あなたはもうそのニュースを聞きましたか？,Have you heard the news yet?
11,私は彼に長い間会っていません.,I haven't met him for a long time.
12,私はその歌手に一度も会ったことがありません.,I have never met the singer.
13,彼はすでにそのニュースを受け取りました.,He has already received the news.
14, あなたは生まれてからずっと東京に住んでいますか？,Have you lived in Tokyo since you were born?
15,私はその博物館に何回か行ったことがあります.,I have been to the museum several times.
16,彼女はちょうど自分の部屋を掃除しました.,She has just cleaned her room.
17,私はその記事を3回読んだことがあります.,I have read the article three times.
18,あなたは何回日本に行ったことがありますか？,How many times have you been to Japan?
19,彼はこの町に3ヶ月間滞在していますか？,Has he been in this town for three months?
20,あなたはどれくらいの間に彼女を知っているのですか？,How long have you known her?
