id,japanese,english
1,私は２時間ずっと英語を勉強しています。,I have been studying English for two hours.
2,私はちょうど昼食を食べたところです。,I have just eaten my lunch.
3,私の母は今朝からずっと病気です。,My mother has been sick since this morning.
4,あなたは今までに富士山に登ったことがありますか。,Have you ever climbed Mt. Fuji?
5,彼女は財布をなくしてしまいました。,She has lost her wallet.
6,あなたは何回あの博物館を訪れたことがありますか。,How many times have you visited that museum?
7,彼女は今朝からずっとピアノを弾いていますか。,Has she been playing the piano since this morning?
8,あなたはどのくらい長くこのコンピューターを使っていますか。,How long have you used this computer?
9,彼はまだ新しいカバンを買っていません。,He has not bought a new bag yet.
10,私はカナダに一度行ったことがあります。,I have been to Canada once.
11,彼は１０時からずっとテレビを見ています。,He has been watching TV since ten o'clock.
12,私たちは先月からずっと忙しいです。,We have been busy since last month.
13,私たちはすでにその手紙を書いてしまいました。,We have already written the letter.
14,私の妹は一度も馬に乗ったことがありません。,My sister has never ridden a horse.
15,私は彼を３年間知っています。,I have known him for three years.
16,私はパスワードを忘れてしまいました。,I have forgotten my password.
17,あなたはもう宿題をしてしまいましたか。,Have you done your homework yet?
18,私たちは長い間ずっと彼を待っています。,We have been waiting for him for a long time.
19,彼は以前にその映画を見たことがあります。,He has seen the movie before.
20,彼は英語の先生になってどれくらいですか。,How long has he been an English teacher?
