id,japanese,english,word_options,correct_answer
1,バターは牛乳から作られます。,"Butter is made (　　) milk.","of, from, into, by",from
2,その果物はジャムに変えられました。,"The fruit was made (　　) jam.","of, from, into, with",into
3,その知らせを聞いて、私はとても喜んだ。,"I was greatly pleased (　　) the news.","at, by, with, to",with
4,彼は戦場で亡くなりました。,"He was killed (　　) the war.","at, by, in, with",in
5,私たちは彼に賛成しました。,"We agreed (　　) him.","to, on, with, about",with
6,私たちはその計画に同意しました。,"We agreed (　　) the plan.","to, on, with, about",to
7,彼はひどい頭痛に苦しんでいます。,"He suffers (　　) a terrible headache.","from, with, by, of",from
8,私たちは彼を尊敬しています。,"We look up (　　) him.","for, down, after, to",to
9,彼はその解決策を思いつきました。,"He came up (　　) the solution.","for, with, at, to",with
10,私たちは彼の提案を断りました。,"We turned (　　) his offer.","up, off, down, out",down
