id,main,Q1,Q1A,Q1B,Q1C,Q1D,A1,Q2,Q2A,Q2B,Q2C,Q2D,A2,japanese
1,"Hard work is important if we want to achieve our goals. Many successful people did not succeed immediately. They worked hard for a long time before reaching their dreams. Hard work helps us learn new skills and gain experience. Sometimes, we may fail, but failure teaches us important lessons. Some people believe talent is the most important thing, but even talented people need to work hard. If we keep trying and never give up, we can improve and get closer to our dreams.",What is this passage about?,A. The value of hard work.,B. How to relax more.,C. The best way to become rich.,D. The history of talent.,A. The value of hard work.,What can failure teach us?,A. How to avoid hard work.,B. Important lessons.,C. How to relax.,D. How to become rich.,B. Important lessons.,目標を達成するためには努力が重要です。多くの成功した人々はすぐには成功しませんでした。彼らは夢を達成する前に長い間努力してきました。努力は新しいスキルを学び，経験を積む手助けをします。時には失敗することもありますが，失敗は大切な教訓を教えてくれます。才能が最も重要だと信じる人もいますが，才能がある人でも努力は必要です。もし私たちが努力し続け，決して諦めなければ，改善し，夢に近づくことができるのです。
2,"Friends make our lives happier and more meaningful. A good friend supports us when we are sad and celebrates with us when we are happy. Friendship also teaches us kindness and trust. Some friendships last for many years, while others are short, but all friendships are valuable. However, good friendships need effort. We should listen to our friends and help them when they need us. If we take care of our friendships, they can bring us joy for a lifetime.",What is this passage about?,A. The importance of friendship.,B. The history of school.,C. The best way to become famous.,D. Why studying alone is best.,A. The importance of friendship.,What does the passage say about friendship?,A. It is not important in life.,B. Friendships never need effort.,C. We should support and listen to our friends.,D. Only childhood friendships are valuable.,C. We should support and listen to our friends.,友だちは私たちの人生をより幸せで意味のあるものにしてくれます。良い友だちは、私たちが悲しいときに支えてくれ，うれしいときには祝ってくれます。友情はまた思いやりや信頼を教えてくれます。長く続く友情もあれば，短い友情もありますが、すべての友情は大切です。しかし，良い友情には努力が必要です。私たちは友だちの話をよく聞き，助けが必要なときには手を差し伸べるべきです。友情を大切にすれば，それは一生の喜びをもたらしてくれるでしょう。
3,"The environment is very important for all living things. However, pollution and climate change are big problems today. People throw away too much plastic, and many forests are cut down. These actions harm animals and nature. To protect the environment, we should recycle, save energy, and use less plastic. Even small actions like turning off lights and using reusable bags can help. If we all work together, we can make the world a cleaner and safer place for future generations.",What is this passage about?,A. The importance of sports.,B. Saving the environment.,C. How to travel the world,D. The history of electricity.,B. Saving the environment.,What does the passage suggest for helping the environment?,A. Using more plastic.,B. Cutting down more trees.,C. Recycling and saving energy.,D. Throwing trash in rivers.,C. Recycling and saving energy.,環境はすべての生き物にとってとても重要です。しかし、今日では汚染や気候変動が大きな問題となっています。人々はプラスチックを捨てすぎ、たくさんの森林が伐採されています。これらの行動は動物や自然に害を与えます。環境を守るために、私たちはリサイクルを行い、エネルギーを節約し、プラスチックの使用を減らすべきです。電気を消すことや、再利用可能な袋を使うことのような小さな行動でも助けになります。もし私たち全員が協力すれば、将来の世代のために世界をより清潔で安全な場所にすることができます。
4,"Music has the power to change our emotions. Happy songs can make us feel energetic, while slow and soft music helps us relax. Some people listen to music when they study because it improves their focus. Others use music to express their feelings. Playing an instrument or singing can be a great way to relieve stress. Music is also important in celebrations and ceremonies. No matter what kind of music we like, it makes our lives richer and more enjoyable.",What is this passage about?,A. The best way to study.,B. How music affects our feelings.,C. The history of musical instruments.,D. Why people should learn music.,B. How music affects our feelings.,What does the passage say about music?,A. It has no effect on emotions.,B. It helps people relax and focus.,C. Only playing an instrument is enjoyable.,D. Music is not used in celebrations.,B. It helps people relax and focus.,音楽には私たちの感情を変える力があります。楽しい曲は私たちを元気にし、ゆっくりとした柔らかい音楽はリラックスさせてくれます。勉強するときに音楽を聴く人もいますが、それは集中力を高めてくれるからです。ほかの人は、自分の気持ちを表すために音楽を使います。楽器を演奏したり歌ったりすることは、ストレスを和らげる素晴らしい方法にもなります。音楽はお祝いの場や儀式においても大切です。私たちがどんな種類の音楽を好んでも、それは私たちの生活をより豊かで楽しいものにしてくれます。
5,"Cooking is not just about making food; it is an important life skill. When people learn to cook, they can prepare healthy meals and save money instead of eating out. Cooking also helps develop creativity, as people try new ingredients and recipes. Some families cook together, making it a fun and educational activity. Additionally, knowing how to cook allows people to make food that suits their tastes and dietary needs. Cooking is a skill that benefits people throughout their lives.",What is this passage about?,A. Cooking as a life skill.,B. The history of cooking.,C. Why eating out is bad.,D. How to become a professional chef.,A. Cooking as a life skill.,"According to the passage, what is one benefit of cooking?",A. It helps people save money.,B. It is only for professional chefs.,C. It is not useful in daily life.,D. It makes food less enjoyable.,A. It helps people save money.,料理はただ食べ物を作ることではなく，重要な生活スキルです。料理を学ぶと，外食をする代わりに健康的な食事を作り，お金を節約することができます。また，料理は新しい食材やレシピに挑戦することで創造性を育てます。家族で一緒に料理をする家庭もあり，それは楽しく学びのある活動になります。さらに，料理の方法を知っていると，自分の好みや食事の制限に合った料理を作ることができます。料理は一生を通じて人々に役立つスキルなのです。
6,"Walking is one of the easiest ways to stay healthy. It strengthens the heart, muscles, and bones. Walking outside also helps reduce stress and improve mood. Many people walk to school or work, which helps them stay active. Even short walks during the day can have positive effects on the body. Walking in nature is especially relaxing. Unlike other exercises, walking does not require special equipment. Anyone can do it, making it a simple yet effective way to stay fit.",What is this passage about?,A. The benefits of walking.,B. The dangers of exercise.,C. Why running is better than walking.,D. The history of transportation.,A. The benefits of walking.,What does the passage say about walking?,A. It requires special equipment.,B. It helps reduce stress and improve mood.,C. People should only walk indoors.,D. Walking is a difficult exercise.,B. It helps reduce stress and improve mood.,歩くことは、健康を保つための最も手軽な方法のひとつです。心臓、筋肉、骨を強くしてくれます。外を歩くことはストレスを減らし、気分を改善する効果もあります。多くの人が学校や職場まで歩いており、それが活動的でいることにつながっています。日中の短い散歩でも、体に良い影響があります。自然の中を歩くと、特にリラックスできます。他の運動と違い、歩くために特別な道具は必要ありません。誰でもできるため、シンプルでありながら効果的なフィットネス方法です。
7,"The night sky is full of wonders. The moon changes shape every night, and stars shine brightly. Sometimes, people can see shooting stars or even planets with a telescope. For thousands of years, humans have studied the stars and created stories about them. Watching the night sky can be relaxing and make people feel curious about the universe. Whether in a city or the countryside, looking up at the stars reminds us of how big and beautiful the world is.",What is this passage about?,A. Why stars are not important.,B. The history of space travel.,C. The beauty of the night sky.,D. How to become an astronaut.,C. The beauty of the night sky.,What does the passage say about watching the night sky?,A. It can be relaxing and inspiring.,B. It is only for scientists.,C. People should not look at the stars.,D. The night sky is not interesting.,A. It can be relaxing and inspiring.,夜空は不思議なもので満ちています。月は毎晩形を変え、星は明るく輝きます。時には流れ星を見たり、望遠鏡を使って惑星を見ることもできます。何千年もの間、人類は星を研究し、それについての物語を作ってきました。夜空を眺めることは心を落ち着かせ、宇宙への好奇心をかき立ててくれます。都市でも田舎でも、星を見上げることで、世界がどれほど大きく美しいかを思い出させてくれます。
8,"Mistakes are a natural part of life, and they help us grow. When people fail, they have a chance to think about what went wrong, make changes, and try again. Many successful people, like inventors, athletes, and scientists, have failed many times before reaching their goals. Each mistake teaches them something new and helps them improve. Instead of feeling bad about mistakes, we should see them as learning opportunities. Making mistakes is not a sign of weakness; it is a step toward success and a way to become stronger.",What is this passage about?,A. The importance of learning from mistakes,B. Why people should avoid failure,C. The history of success,D. How to become famous,A. The importance of learning from mistakes,"According to the passage, what should people do when they make mistakes?",A. Feel bad about them,B. Learn from them and improve,C. Give up on their goals,D. Avoid trying new things,B. Learn from them and improve,失敗は人生の自然な一部であり、私たちが成長するのを助けてくれます。人は失敗したとき、何が悪かったのかを考え、改善し、もう一度挑戦する機会を得ます。発明家、アスリート、科学者など、多くの成功した人々は、目標を達成する前に何度も失敗しています。それぞれの失敗は彼らに新しいことを教え、向上するのを助けてくれます。失敗について落ち込むのではなく、それを学ぶ機会として捉えるべきです。失敗することは弱さの表れではなく、成功への一歩であり、より強くなるための方法なのです。
9,"Laughter is a simple but powerful tool for happiness. When we laugh, our body releases chemicals that reduce stress, help us stay healthy, and improve our mood. Scientists say that people who laugh often feel happier and may live longer. Laughing with friends makes relationships stronger, and watching funny movies or telling jokes is a great way to relax. Even when life is hard, a little laughter can make us feel better and help us keep going. A good sense of humor makes life more enjoyable and brings people closer together.",What is this passage about?,A. The benefits of laughter.,B. The history of comedy.,C. Why people should be serious.,D. How to become a comedian.,A. The benefits of laughter.,What is one effect of laughter?,A. It increases stress.,B. It improves mood and health.,C. It makes people live shorter lives.,D. Only jokes can make people laugh.,B. It improves mood and health.,笑いは、シンプルですが幸福のための強力なツールです。私たちが笑うとき、体はストレスを減らし、健康を保ち、気分を向上させる化学物質を放出します。科学者たちは、よく笑う人はより幸せを感じ、長生きする可能性があると言っています。友達と一緒に笑うことは人間関係をより強固にし、面白い映画を見たり冗談を言ったりすることはリラックスするための素晴らしい方法です。人生が困難な時でさえ、少しの笑いが私たちの気分を良くし、前進し続けるのを助けてくれます。良いユーモアのセンスは人生をより楽しいものにし、人々をより身近な存在にしてくれます。
10,"Eating vegetables is very important for our health. Vegetables have many vitamins that help our body stay strong. People who eat a lot of vegetables have more energy and do not get sick easily. However, some people do not like vegetables because of their taste. To eat more vegetables, we can try different ways of cooking them. For example, mixing vegetables with meat or making a soup can make them taste better. Eating vegetables every day is a good habit. It helps us stay healthy and feel good.",What is this passage about?,A. The importance of vegetables.,B. The best way to cook meat.,C. How to avoid getting sick.,D. The dangers of eating too much.,A. The importance of vegetables.,What does the passage suggest about eating vegetables?,A. It is bad for health.,B. People should not eat them every day.,C. Cooking them in different ways can help.,D. Only children need to eat vegetables.,C. Cooking them in different ways can help.,野菜を食べることは私たちの健康にとって非常に重要です。野菜には、体を強く保つのに役立つビタミンがたくさん含まれています。野菜をたくさん食べる人はよりエネルギーがあり、簡単には病気になりません。しかし、その味が理由で野菜が好きではない人もいます。より多くの野菜を食べるために、さまざまな調理方法を試すことができます。例えば、野菜を肉と混ぜたりスープにしたりすることで、より美味しくすることができます。毎日野菜を食べることは良い習慣です。それは私たちが健康を保ち、気分良く過ごすのに役立ちます。
