id,date,main,Q1,Q1A,Q1B,Q1C,Q1D,A1,Q2,Q2A,Q2B,Q2C,Q2D,A2,japanese,page,correct_order_q1,correct_answers_q2,japanese_image_url,question_type_ja,ja_intro_text,q1_ja,correct_answer_q1_ja,q2_ja,correct_answer_q2_ja,q3_ja,q3a_ja,q3b_ja,q3c_ja,q3d_ja,correct_answer_q3_ja,word_count_ja,audio_url,japanese_explanation_video_url,video_type
1,2025-07-23,"Tom was very excited. For his birthday, his parents gave him a new bicycle. It was blue with black wheels. Tom couldn’t wait to ride it. He put on his helmet and went outside. At first, he was a little nervous, but after a few minutes, he got used to it. He rode down the street. He felt the wind on his face. Tom decided to ride to the park. When he arrived, he saw his friends playing soccer. They waved at him and asked him to join. Tom smiled and said, “I’ll join after I ride for a little longer.” He enjoyed riding his bicycle for an hour before playing with his friends.",Q1 What did Tom get for his birthday? ,A. A bicycle.,B. A soccer ball.,C. A video game.,D. A helmet.,A. A bicycle.,Q2 How did Tom feel when he first rode his bicycle? ,A. He felt very happy.,"B. He felt nervous.",C. He didn't like it at all.,D. He felt scared.,"B. He felt nervous.",トムはとてもわくわくしていました。誕生日に、両親が新しい自転車をプレゼントしてくれたのです。それは青色で、黒い車輪がついていました。トムは早くそれに乗りたくてたまりませんでした。ヘルメットをかぶって外に出ました。最初は少し緊張していましたが、数分後には慣れてきました。トムは通りを走りました。顔に風を感じました。トムは公園まで自転車で行くことにしました。着くと、友だちがサッカーをしているのが見えました。友だちは手を振って、いっしょにやろうと声をかけてきました。トムは笑って、「もう少し乗ってからいくね」と言いました。彼は一時間ほど自転車に乗って楽しんだあと、友だちと遊びました。,38,"イ,ウ,ア,エ","イ,エ,オ",https://raw.githubusercontent.com/boost-ogawa/english-booster/main/images_jp/image_01.png,binary_double,"次の説明は本文の内容と合致するか。","問題１　読書をするときはどんな本でも緩やかに読むべきだ。","正しくない","問題２　走り読みするのがよいような本でも全く不必要ということではない。","正しい",,,,,,,521,https://media.githubusercontent.com/media/boost-ogawa/english-booster/refs/heads/main/audio_files/Tom's%20new%20bicycle.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_1.mp4,embed_mp4
2,2025-07-24,"One day, Jack found that his mother looked very tired. She was doing a lot of things. She had to clean the house, do the laundry, and cook dinner. He wanted to make his mother feel better. So he decided to help her. First, he cleaned his room by himself. Then, he helped her set the table for dinner. After dinner, he washed the dishes with her. She smiled and said, ""Thank you, Jack. You are very helpful."" Jack felt very happy to hear that. He learned that helping at home makes things easier for everyone. ",Q1 What did Jack do to help his mother? ,A. He cooked dinner.,B. He set the table.,C. He washed the car.,D. He did the laundry.,B. He set the table.,Q2 How did Jack feel after helping his mom? ,A. Tired.,B. Happy.,C. Angry.,D. Sad.,B. Happy.,ある日、ジャックはお母さんがとても疲れているように見えることに気づきました。お母さんはたくさんのことをしていました。家の掃除、洗濯、夕食の準備をしなければなりませんでした。ジャックは、お母さんを元気づけたいと思いました。そこで、お母さんを手伝うことにしました。まず、自分の部屋をひとりで掃除しました。それから、夕食のテーブルを準備するのを手伝いました。夕食のあと、お母さんといっしょに皿洗いをしました。お母さんは笑って「ありがとう、ジャック。とても助かったわ」と言いました。それを聞いて、ジャックはとてもうれしくなりました。家で手伝うことは、みんなのためになるとジャックは学びました。,39,"エ,ウ,ア,イ","ウ,オ",https://raw.githubusercontent.com/boost-ogawa/english-booster/main/images_jp/image_01.png,binary_double,次の説明は本文の内容と合致するか。,問題１　読書をするときはどんな本でも緩やかに読むべきだ。,正しくない,問題２　走り読みするのがよいような本でも全く不必要ということではない。,正しい,,,,,,,521,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/Jack's_Assistance.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/Speed_Reading_2.mp4,embed_mp4
3,2025-07-25,"Sarah loves nature. One day, she decided to go for a walk in the forest near her house. She packed a small bag with some water, a sandwich, and her favorite book. The weather was cool, and the trees were full of green leaves. Sarah walked along the path. She listened to the sound of birds singing. After a while, she saw a small rabbit hopping in the grass. She decided to follow it, but the rabbit quickly ran away. Sarah smiled and continued her walk. She found a nice spot by a stream, and she sat and read her book for a while. When it was time to go home, she felt happy and relaxed.",Q1 Where did Sarah go for a walk? ,A. She walked in the park.,B. She walked in the forest.,C. She walked around the city.,D. She stayed at home.,B. She walked in the forest.,Q2 What did Sarah do when she saw the rabbit? ,A. She caught the rabbit.,"B. She followed the rabbit, but it ran away.",C. She went home quickly.,D. She took a picture of the rabbit.,"B. She followed the rabbit, but it ran away.",サラは自然が大好きです。ある日、彼女は家の近くの森を散歩しようと決めました。彼女は水、サンドイッチ、そしてお気に入りの本を小さなバッグに詰めました。天気は涼しく、木々には緑の葉がたくさんついていました。サラは小道を歩きました。鳥のさえずりを聞きました。しばらくして、草の中を跳ねる小さなウサギを見つけました。彼女はそれを追いかけようとしましたが、ウサギはすぐに逃げてしまいました。サラは微笑み、散歩を続けました。小川のそばにいい場所を見つけて、しばらく座って本を読みました。家に帰る時間になると、彼女は幸せでリラックスした気持ちになっていました。,40,"イ,ウ,ア,エ","ウ,オ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%A1.png,binary_double,次の説明は本文の内容と合致するか。,問題１　自分の考えで勝手に読まずに客観的に読むべきだ。,正しい,問題２　発見的読書のためには絶えず自分で考える必要がある。,正しい,,,,,,,519,https://media.githubusercontent.com/media/boost-ogawa/english-booster/refs/heads/main/audio_files/Sarah%20went%20to%20the%20forest.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_3.mp4,embed_mp4
4,2025-07-26,"Mary was in a hurry to go to her friend's house. She planned to meet her friend, Sarah, at 2 p.m. She left her house and closed the door. Then, she tried to lock it, but she couldn't find her key. Mary was worried because she didn't want to be late. She knocked on the door to ask her mother or brother for a spare key, but no one was home. Mary sat on the steps for a few minutes and thought. Then, she remembered that she put the key on the kitchen counter. She ran back into the house, grabbed the key, and finally went to Sarah's house. Mary was a little late, but she was happy to see her friend.",Q1 Why was Mary in a hurry? ,A. She needed to go to work.,"B. She was meeting her friend, Sarah.",C. She was going to the library.,D. She was going to visit her grandmother.,"B. She was meeting her friend, Sarah.",Q2 Where did Mary find her key? ,A. In her pocket.,B. On the kitchen counter.,C. In her bag.,D. Outside the house.,B. On the kitchen counter.,メアリーは友だちの家に行くために急いでいました。彼女は午後2時に友だちのサラと会う予定でした。彼女は家を出てドアを閉めました。それからドアに鍵をかけようとしましたが、鍵が見つかりませんでした。メアリーは遅れたくなかったので心配になりました。彼女は母親か兄に合鍵を頼もうとしてドアをノックしましたが、誰も家にいませんでした。メアリーは数分間階段に座って考えました。すると、キッチンのカウンターに鍵を置いたことを思い出しました。彼女は家に戻って鍵を取り、ようやくサラの家に向かいました。メアリーは少し遅れましたが、友だちに会えてうれしかったです。,41,"イ,ア,ウ,エ","ア,オ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%A3.png,binary_double,次の説明は本文の内容と合致するか。,問題１　言葉であらわされたものはすべて文学の中に取り入れられる。,正しい,問題２　言葉にあらわされなくても、詳細に考えられたものをだれかに聞かせれば文学になりうる。,正しくない,,,,,,,544,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/The%20Lost%20Key.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_training_4.mp4,embed_mp4
5,2025-07-28,"Jake loved reading books. One Saturday, he decided to visit the library to find a new book. He walked to the library. It was only a few blocks from his house. When he arrived, he went to the children's section. There were many books to choose from, but Jake was looking for a book about animals. He found a book about wild animals in Africa. Jake sat down at a table and started reading. The book was very interesting. After reading for an hour, Jake borrowed the book and went home. He couldn't wait to tell his family about all the new things he learned.",Q1 Where did Jake go on Saturday?,A. He went to the zoo.,B. He went to the library.,C. He went to the park.,D. He stayed at home.,B. He went to the library.,Q2 What kind of book did Jake borrow?,A. A book about history.,B. A book about animals.,C. A book about cooking.,D. A book about music.,B. A book about animals.,"ジェイクは本を読むのが大好きでした。ある土曜日、彼は新しい本を探しに図書館へ行くことにしました。彼は歩いて図書館へ行きました。図書館は家から数ブロックしか離れていませんでした。着くと、彼は子どもの本のコーナーへ行きました。たくさんの本がありましたが、ジェイクは動物についての本を探していました。彼はアフリカの野生動物についての本を見つけました。ジェイクはテーブルに座って読み始めました。その本はとてもおもしろかったです。1時間ほど読んだあと、ジェイクはその本を借りて家に帰りました。彼は学んだ新しいことを家族に話すのが待ちきれませんでした。",42,"イ,ア,エ,ウ","ウ,オ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%A4.png,binary_double,次の説明は本文の内容と合致するか。,問題１　ラジオや飛行機は科学が産み出したものではあるが科学そのものではない。,正しい,問題２　ある学者が記録し発表せずに終わった大発見は科学的には重要だが新聞記事にはならない。,正しくない,,,,,,,518,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/Jake%E2%80%99s%20Trip%20to%20the%20Library.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_5.mp4,embed_mp4
6,2025-07-29,"Maya and her family planned to go to the beach for a special day. Maya was excited because she loved swimming in the ocean. When they arrived, she ran straight to the water. The water was a little cold at first, but after a few minutes, it felt great. She swam and played in the waves. She also built a sandcastle with her brother and played beach volleyball with her parents. They spent the whole day enjoying the sun, the sea, and each other's company. At the end of the day, they were all tired but happy.",Q1 What did Maya do when she got to the beach?,A. She went to sleep.,B. She built a sandcastle.,C. She played volleyball.,D. She ran into the water.,D. She ran into the water.,Q2 How did Maya feel at the end of the day?,A. Tired but happy.,B. Bored.,C. Angry.,D. Sad.,A. Tired but happy.,"マヤと家族は特別な一日のためにビーチへ行く計画を立てました。マヤは海で泳ぐのが大好きなのでとてもわくわくしていました。到着すると，彼女はまっすぐに水辺へ走っていきました。最初は水が少し冷たかったですが，数分するととても気持ちよくなりました。彼女は波の中で泳いだり遊んだりしました。また，弟と砂のお城を作ったり，両親とビーチバレーをしたりもしました。彼らは一日中，太陽と海，そして一緒にいることを楽しみました。一日の終わりには，みんな疲れていましたが幸せでした。",43,"ウ,イ,ア,エ","イ,エ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%A5.png,binary_double,"次の説明は本文の内容と合致するか。","問題１　論文を書いている際に研究結果の不備が明らかになることは少なくない。","正しい","問題２　科学的論文は、読者の疑問を解決することを目的として書かれなければならない","正しくない",,,,,,,617,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/A%20Day%20at%20the%20Beach.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_6.mp4,embed_mp4
7,2025-07-30,"One Sunday morning, Emma was excited because it was her birthday. She invited her friends to her house for a party. There were balloons and colorful decorations everywhere. Emma's mother made a big cake with chocolate icing. Everyone sang ""Happy Birthday"" when it was time to cut the cake. After eating, they played games like musical chairs and pin the tail on the donkey. Emma's best friend, Lily, gave her a special gift: a beautiful bracelet. Emma was so happy. At the end of the party, her friends gave her big hugs, and Emma thanked them for making her day so special.",Q1 What did Emma do at her birthday party?,A. She played games and ate cake.,B. She went to a restaurant.,C. She watched a movie.,D. She stayed at home alone.,A. She played games and ate cake.,Q2 Who gave Emma a bracelet?,A. Her mother.,B. Her best friend.,C. Her father.,D. Her brother.,"B. Her best friend.",ある日曜日の朝、エマはとてもわくわくしていました。なぜならその日は彼女の誕生日だったからです。彼女は友だちを家に招いてパーティーを開きました。風船やカラフルな飾りがあちこちにありました。エマのお母さんはチョコレートのアイシングがのった大きなケーキを作りました。ケーキを切る時間になると、みんなで「ハッピーバースデー」を歌いました。ケーキを食べたあと、彼らは椅子取りゲームやロバのしっぽをつけるゲームなどをして遊びました。エマの親友リリーは、彼女に特別なプレゼント、きれいなブレスレットをくれました。エマはとても幸せでした。パーティーの終わりに、友だちがエマに大きなハグをしてくれて、エマは「今日を特別な日にしてくれてありがとう」と感謝しました。",44,"イ,エ,ア,ウ","ウ,オ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%A6.png,multiple_single,"次の問いに答えなさい。",,,,,"「後ろ姿で人を思う時にも、顔は向こうを向いているのである。」とはどういうことか。","ア　後ろを向いている人の顔を思い浮かべることは困難であるということ。","イ　後ろ姿の人を思い浮かべると、顔を想像できなくなるということ。","ウ　後ろを向いている相手でも、顔なしでは存在しえないということ。","エ　後ろを向いていると、相手の顔を見ることができないということ。","ウ　後ろを向いている相手でも、顔なしでは存在しえないということ。",607,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/Emma%E2%80%99s._Birthdaymp3.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_7.mp4,embed_mp4
8,2025-08-02,"Bob went to the park with his friends. It was a sunny afternoon, and they decided to play soccer. At first, they were all running around and having fun, but then one of the balls went too far and got stuck in a tree. They all tried to get it down, but it was too high. Just when they thought they would have to give up, a kind man who was walking his dog helped us. He brought a stick and knocked the ball down. They thanked him and continued playing. It was a great day, and Bob learned that sometimes asking for help can make things easier.",Q1 What happened when they played soccer?,A. They lost the ball.,B. They won the game.,C. The ball got stuck in a tree.,D. They got tired quickly.,C. The ball got stuck in a tree.,Q2 What did the man do to help?,A. He kicked the ball back.,B. He helped get the ball down with a stick.,C. He played with them.,D. He gave them a new ball.,B. He helped get the ball down with a stick.,"ボブは友達と一緒に公園に行きました。晴れた午後で、彼らはサッカーをすることにしました。最初はみんな走り回って楽しんでいましたが，ボールの一つが遠くに行きすぎて木に挟まってしまいました。みんなで取ろうとしましたが，高すぎました。もう諦めなければならないだろうと思ったちょうどそのとき，犬を散歩させていた親切な男性が助けてくれました。彼は棒を持ってきてボールを落としてくれました。彼らはお礼を言って，遊び続けました。素晴らしい一日で、ボブは時々助けを求めることが物事をより簡単にするということを学びました。",45,"ウ,ア,イ,エ","エ,オ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%A7.png,binary_double,次の説明は本文の内容と合致するか。,問題１　能面そのものには喜びや怒りといった表情はあらわされていない。,正しい,問題２　能面の表情は面をつけた役者の動きによって豊かに変化する。,正しい,,,,,,,599,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/A%20Day%20in%20the%20Park.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_8.mp4,embed_mp4
9,2025-08-05,"Mark always wanted to know how bread was made, so he decided to do a job experience at a bakery. On his first day, he was excited but also nervous. Mark learned how to mix the bread dough and shape it into pieces of bread. Mark’s hands were covered in flour, but he didn’t mind. He realized how hard it was to bake bread. By the end of the week, Mark learned a lot, and he was proud of the bread he helped make. He thought that hard work could lead to great results.",Q1 Where did Mark do his job experience?,A. In a restaurant.,B. In a bakery.,C. In a factory.,D. In a hospital.,B. In a bakery.,Q2: What did Mark think about the bread he helped make?,A. He thought it was too hard to make.,B. He didn’t like how it turned out.,C. He was proud of it.,D. He wanted to try a different job.,C. He was proud of it.,"マークはずっとパンがどうやって作られるのか知りたいと思っていました。そこで、パン屋で職場体験をすることにしました。初日は、わくわくしながらも少し緊張していました。マークはパン生地の混ぜ方や、パンの形の作り方を学びました。マークの手は粉だらけになりましたが、気にしませんでした。パン作りがどれほど大変かを実感しました。1週間の終わりには、多くのことを学び、自分が作るのを手伝ったパンを誇りに思いました。マークは、努力すればよい結果につながると思いました。",46,"イ,エ,ア,ウ","ア,エ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%A8.png,binary_double,次の説明は本文の内容と合致するか。,問題１　言語は民族的統一を形成する重要な要素である。,正しい,問題２　俳句は日本人の人生観や世界観の特色を示している。,正しい,,,,,,,523,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/The%20Job%20Experience%20at%20the%20Bakery.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_9.mp4,embed_mp4
10,2025-08-06,"Mike and his sister Lily went to the zoo on Sunday. They were excited to see the animals. First, they saw the elephants. The elephants were very big and had long trunks. Next, they went to see the lions. The lions were lying in the sun, resting. Mike and Lily took pictures of the lions. After that, they visited the monkeys. The monkeys were playing and jumping around. Mike laughed because one monkey was holding a banana and eating it. Later, they had lunch at a café inside the zoo. Mike and Lily talked about their favorite animals. At the end of the day, they bought souvenirs and went home. It was an exciting day.",Q1 What animals did Mike and Lily see first?,A. Lions.,B. Monkeys.,C. Elephants.,D. Bears.,C. Elephants.,Q2 What did the monkeys do?,A. They were sleeping.,B. They were jumping around and playing.,C. They were eating a cake.,D. They were swimming.,B. They were jumping around and playing.,マイクと妹のリリーは日曜日に動物園へ行きました。彼らは動物たちを見るのを楽しみにしていました。最初に、彼らはゾウを見ました。ゾウはとても大きく、長い鼻を持っていました。次に、彼らはライオンを見に行きました。ライオンたちは日なたで横になって休んでいました。マイクとリリーはライオンの写真を撮りました。そのあと、彼らはサルのところを訪れました。サルたちは遊んだり跳ねたりしていました。1匹のサルがバナナを持って食べているのを見て、マイクは笑いました。その後、彼らは動物園の中のカフェで昼ごはんを食べました。マイクとリリーは好きな動物について話しました。1日の終わりに、彼らはおみやげを買って家に帰りました。わくわくする一日でした。",47,"ア,ウ,イ,エ","イ,エ",https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/%E9%80%9F%E7%B2%BE%E8%AA%AD%E2%91%A9.png,multiple_single,"次の問いに答えなさい。",,,,,"本文の主旨として適切なものを次から一つ選べ。","ア　外国語を日本語に取り入れることは日本語の純粋性を失わせるので避けるべきだ。","イ　外国語をうまく消化して日本語に取り入れることは否定すべきものではない。","ウ　漢文を読み漢文によって思想を発表してきたことは、日本語の発展を妨げてきた。","エ　言語の純粋性を保つためには、古い言語や語法によって今日の思想を表すことが重要だ。","イ　外国語をうまく消化して日本語に取り入れることは否定すべきものではない。",451,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/English_Booster_j/A%20Day%20at%20the%20Zoo.mp3,https://filedn.com/lTkchLpf4Vo0aRMDYi0tvk5/%E9%80%9F%E7%B2%BE%E8%AA%AD%E8%AC%9B%E5%BA%A7/speed_reading_10.mp4,embed_mp4
