id,japanese,english
1,その橋は去年建てられました。,The bridge was built last year.
2,これらの花は彼女によって育てられましたか。,Were these flowers grown by her?
3,そのケーキは多くの子どもたちに食べられました。,The cake was eaten by many children.
4,その学校はいつ建てられましたか。,When was the school built?
5,私はその話に興味があります。,I am interested in the story.
6,この部屋は毎朝掃除されます。,The room is cleaned every morning.
7,そのバッグはどこで作られましたか。,Where was the bag made?
8,その窓は昨日開けられませんでした。,The window was not opened yesterday.
9,この映画は多くの人々に楽しまれています。,This movie is enjoyed by many people.
10,これらの机は木で作られています。,These desks are made of wood.
11,この写真は私の父によって撮られました。,This picture was taken by my father.
12,この町では英語が教えられていますか。,Is English taught in this town?
13,多くの魚がその川で捕まえられます。,Many fish are caught in the river.
14,その公園は多くの人々によって使われています。,The park is used by many people.
15,そのドアは夜に閉められません。,The door is not closed at night.
16,たくさんの星が夜に見ることができます。,Many stars can be seen at night.
17,この本は世界中で読まれています。,This book is read all over the world.
18,これらの部屋は毎日使われていますか。,Are these rooms used every day?
19,その犬は少年たちに愛されています。,The dog is loved by the boys.
20,彼の名前はみんなに知られています。,His name is known to everyone.
