id,japanese,english
1,私は以前その鳥を見たことがあります。, I have seen the bird before.
2,私は京都に二回行ったことがあります。, I have been to Kyoto twice.
3,あなたはその映画を今までに見たことがありますか。, Have you ever watched the movie?
4,彼はこの歌を何度も歌ったことがあります。, He has sung this song many times.
5,私は一度も外国へ行ったことがありません, I have never been abroad.
6,あなたはその本を読んだことがありますか。, Have you ever read the book?
7,彼女は以前ロンドンに行ったことがあります。, She has been to Okinawa before.
8,あなたはその店に何回行ったことがありますか。, How often have you been to the shop?
9,私の兄はそのボートに一回乗ったことがあります, My brother has taken the boat once.
10,あなたは何回富士山に登ったことがありますか。, How many times have you climbed Mt. Fuji?
