id,japanese,english
1,父は母に花をあげました。,My father gave flowers to my mother.
2,母は私に朝ごはんを作ってくれました。,My mother made me breakfast.
3,先生に手紙を書きなさい。,Write a letter to your teacher.
4,弟にそのボールを貸してあげて。,Lend your brother the ball.
5,私は明日先生にその写真を見せます。,I will show the picture to my teacher.
6,彼は私たちに面白い話をしてくれました。,He told us an interesting story.
7,山田先生は私たちに英語を教えてくれます。,Mr. Yamada teaches English to us.
8,私は友だちにノートを貸しました。,I lent my notebook to my friend.
9,母に紅茶をいれてあげて。,Make some tea for your mother.
10,先生にその質問をしなさい。,Ask your teacher the question.
