id,japanese,english
1,父は私に新しい自転車を買ってくれました。,My father bought me a new bicycle.
2,彼女はいつも私を幸せにしてくれます。,She always makes me happy.
3,彼はその計画を私に送りました。,He sent the plan to me.
4,彼女は彼に秘密のメッセージを送りました。,She sent him a secret message.
5,先生は私たちに新しいルールを教えました。,The teacher taught us a new rule.
6,私たちは彼をジョンと呼んでいます。,We call him John.
7,彼は私に彼の計画を見せてくれました。,He showed me his plan.
8,彼女は美しいドレスを妹のために作りました。,She made a beautiful dress for her sister.
9,私はその部屋をいつもきれいに保っています。,I always keep the room clean.
10,友達は私に美しい花をくれました。,My friend gave me beautiful flowers.
