id,japanese,english
1,私はちょうど宿題を終えたところです。,I have just finished my homework.
2,私たちは１０年間この町に住んでいます。,We have lived in this town for ten years.
3,あなたは今までにハワイに行ったことがありますか。,Have you ever been to Hawaii?
4,昨日の夜からずっと雨が降っています。,It has been raining since last night.
5,彼は東京へ行ってしまいました。,He has gone to Tokyo.
6,あなたはどのくらい長く英語を勉強していますか。,How long have you studied English?
7,彼女は以前に一度も日本食を食べたことがありません。,She has never eaten Japanese food before.
8,彼らはすでに車を洗ってしまいました。,They have already washed the car.
9,私はあなたを１時間ずっと待っています。,I have been waiting for you for an hour.
10,私はこの本を３回読んだことがあります。,I have read this book three times.
11,私の父は先週からずっと忙しいです。,My father has been busy since last week.
12,彼女はもう自分の部屋を掃除しましたか。,Has she cleaned her room yet?
13,私は時計をなくしてしまいました。,I have lost my watch.
14,私たちは今朝からずっとテニスをしています。,We have been playing tennis since this morning.
15,彼らは今までにパンダを見たことがありますか。,Have they ever seen a panda?
16,私たちは子どもだった頃からずっと彼を知っています。,We have known him since we were children.
17,その列車はまだ駅に到着していません。,The train has not arrived at the station yet.
18,彼は自分の部屋でずっと本を読んでいます。,He has been reading a book in his room.
19,私の兄は２回京都を訪れたことがあります。,My brother has visited Kyoto twice.
20,彼女は長い間新しい自転車を欲しがっています。,She has wanted a new bike for a long time.
