id,japanese,english
1,むこうで本を読んでいる少年は私の弟です。,The boy who is reading a book over there is my brother.
2,これは世界中で人気のある歌です。,This is a song which is popular all over the world.
3,その速く走ることができる犬は私たちのペットです。,The dog that can run fast is our pet.
4,私は毎日勉強する生徒を尊敬します。,I respect students who study every day.
5,彼女はいつも私を助けてくれる友人です。,She is a friend who always helps me.
6,これはとても多くの情報があるウェブサイトです。,This is a website which has a lot of information.
7,私は英語を上手に話すことができる人を探しています。,I am looking for a person who can speak English well.
8,そのテーブルの上にある時計を見て。,Look at the clock which is on the table. 
9,その箱の中にあるおもちゃはあなたへのプレゼントです。,The toy that is in the box is a present for you.
10,毎日泳ぐ人々は健康になります。,People who swim every day become healthy.
