id,japanese,english,word_options,correct_answer
1,私たちはこの件について話し合いました。,"We talked (　　) the matter.","with, to, about, on",about
2,私はその計画に賛成です。,"I am (　　) the plan.","to, for, against, with",for
3,私は明日までにこのレポートを書かなければならない。,"I have to write this report (　　) tomorrow.","until, by, at, for",by
4,あなたからの連絡を楽しみにしています。,"I'm looking forward to hearing (　　) you.","at, to, for, from",from
5,この店は午後9時まで開いています。,"This store is open (　　) 9 p.m.","at, by, to, until",until
6,私はその音に慣れています。,"I am used (　　) the noise.","with, at, to, for",to
7,彼は新しいチームメイトと仲良くやっています。,"He gets along (　　) his new teammates.","at, to, with, on",with
8,この薬は痛みに効きますか？,"Does this medicine work (　　) pain.","for, at, to, with",for
9,彼はその規則に反対の立場をとっています。,"He is (　　) the rule.","to, for, against, with",against
10,彼女は私に感謝しました。,"She thanked me (　　) my help.","at, for, to, with",for
