id,japanese,english
1,この部屋は毎日彼によって掃除されます。,This room is cleaned by him every day.
2,英語は多くの国で話されています。,English is spoken in many countries.
3,このケーキは私の母によって作られました。,This cake was made by my mother.
4,彼らの家は５年前に建てられました。,Their house was built five years ago.
5,これらの写真はトムによって撮られましたか。,Were these pictures taken by Tom?
6,その手紙は日本語で書かれていません。,The letter is not written in Japanese.
7,私はそのニュースに驚きました。,I was surprised at the news.
8,この歌はたくさんの若者に愛されています。,This song is loved by many young people.
9,この窓はケンによって割られたのではありません。,This window was not broken by Ken.
10,これらのリンゴは昨日彼らによって買われましたか。,Were these apples bought by them yesterday?
11,サッカーは世界中でプレイされています。,Soccer is played all over the world.
12,私の姉は音楽に興味があります。,My sister is interested in music.
13,その古い家は先月壊されました。,The old house was broken down last month.
14,フランス語はカナダで話されていますか。,Is French spoken in Canada?
15,その山は白い雪で覆われています。,The mountain is covered with white snow.
16,その本は多くの人々に読まれています。,The book is read by many people.
17,トムはみんなに親切にされました。,Tom was treated kindly by everyone.
18,これらは日本で作られた車ですか。,Are these cars made in Japan?
19,多くの木がその公園に植えられました。,Many trees were planted in the park.
20,その有名な物語は多くの人々に知られています。,The famous story is known to many people.
