id,japanese,english,word_options,correct_answer
1,彼は駅に遅れて着きました。,"He arrived (　　) the station late.","at, in, to, on",at
2,彼は家族を養う責任があります。,"He is responsible (　　) supporting his family.","to, at, for, with",for
3,彼女は英語を話すのが苦手です。,"She is poor (　　) speaking English.","at, in, on, to",at
4,彼女は一人で家にいるのを恐れていました。,"She was afraid (　　) being alone at home.","at, to, with, of",of
5,彼は自分の失敗を恥じていました。,"He was ashamed (　　) his mistake.","of, for, to, with",of
6,彼は私に助けを求めました。,"He asked me (　　) help.","to, at, for, of",for
7,彼女は彼に怒っています。,"She is angry (　　) him.","with, at, to, for",with
8,私たちは彼の健康について心配しています。,"We are worried (　　) his health.","with, about, at, of",about
9,彼は自分の仕事に誇りを持っています。,"He is proud (　　) his work.","for, of, with, to",of
10,彼女は日本の生活をよく知っています。,"She is familiar (　　) Japanese life.","at, to, with, on",with
