id,japanese,english
1,その机の下に猫がいます。,There is a cat under the desk.
2,テーブルの上にはいくつかの皿があります。,There are some dishes on the table.
3,その公園の近くに郵便局がありました。,There was a post office near the park.
4,窓のそばに時計はありますか。,Is there a clock by the window?
5,その部屋にはいすが１つもありませんでした。,There were no chairs in the room.
6,あなたのうしろに幽霊がいます。,There is a ghost behind you.
7,その家の前に３台の自転車がありました。,There were three bikes in front of the house.
8,あなたの町には公園はたくさんありますか。,Are there many parks in your town?
9,空には雲１つありません。,There is not a cloud in the sky.
10,あなたの家の近くには図書館はいくつありますか。,How many libraries are there near your house?
