id,japanese,english,word_options,correct_answer
1,彼は両親の世話をしています。,"He looks (　　) his parents.","up to, down on, after, for",after
2,私たちはその場所を歩き回りました。,"We walked (　　) the place.","along, over, around, across",around
3,彼はみんなに知られています。,"He is known (　　) everyone.","as, for, to, by",to
4,彼女はいつも子どもたちの面倒を見ています。,"She always takes care (　　) her children.","to, of, by, with",of
5,彼女は突然泣き出しました。,"She broke (　　) tears.","out, in, into, down",into
6,私は昨日、旧友に偶然出会いました。,"I came (　　) an old friend yesterday.","with, by, across, over",across
7,ぜひ今夜、私の家に立ち寄ってください。,"Please drop (　　) my house tonight.","to, at, by, in",by
8,私は会議に間に合いました。,"I was (　　) time for the meeting.","on, at, in, by",in
9,彼は風邪で欠席しています。,"He is absent (　　) school with a cold.","of, at, from, by",from
10,彼は外国に行く準備ができています。,"He is ready (　　) going abroad.","with, to, for, at",for
