id,japanese,english,word_options,correct_answer
1,私たちは彼の提案を受け入れました。,"We went (　　) with his suggestion.","on, up, in, along",along
2,私たちはその問題について話し合うべきです。,"We should talk (　　) the problem.","on, over, with, at",over
3,彼女は今、電話で話しています。,"She is talking (　　) the phone now.","on, at, in, with",on
4,彼はいつも彼の友人の味方をします。,"He always stands (　　) his friends.","by, for, up, with",by
5,彼は何も言わずに去りました。,"He left (　　) saying anything.","for, with, without, by",without
6,彼は10分でここに戻ってくるでしょう。,"He will be back here (　　) ten minutes.","on, at, in, for",in
7,この本は環境問題を取り扱っています。,"This book deals (　　) environmental problems.","with, about, on, for",with
8,私たちは彼の帰りを待っています。,"We are waiting (　　) his return.","at, to, for, on",for
9,彼は自分の夢を実現するために上京しました。,"He went to Tokyo (　　) the purpose of realizing his dream.","by, on, for, with",for
10,私たちはその美術館を通り過ぎました。,"We passed (　　) the museum.","by, to, at, on",by
