id,japanese,english
1,むこうで本を読んでいる少年は私の弟です。,The boy who is reading a book over there is my brother.
2,これは世界中で人気のある歌です。,This is a song which is popular all over the world.
3,その速く走ることができる犬は私たちのペットです。,The dog that can run fast is our pet.
4,私は毎日勉強する生徒を尊敬します。,I respect students who study every day.
5,彼女はいつも私を助けてくれる友人です。,She is a friend who always helps me.
6,これはとても多くの情報があるウェブサイトです。,This is a website which has a lot of information.
7,私は英語を上手に話すことができる人を探しています。,I am looking for a person who can speak English well.
8,その机の上にある時計を見て。,Look at the clock which is on the desk.
9,その箱の中にあるおもちゃはあなたへのプレゼントです。,The toy that is in the box is a present for you.
10,毎日泳ぐ人々は健康になります。,People who swim every day become healthy.
11,私の母が焼いたケーキはとてもおいしかったです。,The cake which was baked by my mother was very delicious.
12,あれは長い歴史を持っている古い寺です。,That is an old temple that has a long history.
13,私は新しいアイデアを出すことができる学生が好きです。,I like students who can come up with new ideas.
14,窓のそばに立っている女性は誰ですか。,Who is the woman that is standing by the window?
15,これは多くの人に愛されている有名な絵です。,This is a famous painting which is loved by many people.
16,私たちは私たちを笑わせる物語が好きです。,We like stories that make us laugh.
17,その公園で遊んでいる子供たちはとても元気です。,The children who are playing in the park are very cheerful.
18,私はいつも親切な先生になりたいです。,I want to be a teacher who is always kind.
19,あの時あなたを呼んだ人は誰ですか。,Who was the person that called you then?
20,その門の前にある車は新しいです。,The car which is in front of the gate is new.
21,これは環境に優しい機械です。,This is a machine that is kind to the environment.
22,昨日図書館にいた男の子に会いたい。,I want to see the boy who was in the library yesterday.
23,ここで一番人気があるスポーツは野球です。,The sport which is the most popular here is baseball.
24,テーブルの上にある本は私のものです。,The book which is on the table is mine.
25,私は一生懸命働く人々を尊敬します。,I respect people who work very hard.
26,彼女は多くの言語を使える翻訳家です。,She is a translator who can use many languages.
27,これは水を電気に変えることができる道具です。,This is a tool that can change water into electricity.
28,私に話しかけてきた男性は古い友人でした。,The man who talked to me was my old friend.
29,彼が描いた絵は美術館に展示されています。,The picture which he drew is displayed in the museum.
30,あなたはその本を書いた作家を知っていますか。,Do you know the writer who wrote the book?
31,私はいつも笑顔の店員が好きです。,I like a clerk who is always smiling.
32,昨日届いた手紙はあなた宛てです。,The letter which arrived yesterday is for you.
33,彼は困っている人を助ける医者です。,He is a doctor who helps people who are in trouble.
34,あの山を覆っている雪はとても美しいです。,The snow that covers that mountain is very beautiful.
35,私の母が作ったこの料理は健康に良いです。,This dish which was cooked by my mother is good for health.
36,私は歌を歌うのが得意な友人がいます。,I have a friend who is good at singing songs.
37,私たちは新しい技術を発明する科学者が必要です。,We need scientists who invent new technology.
38,あの店で売られているシャツは安いです。,The shirts which are sold at that store are cheap.
39,私は私に真実を言う人々を信じます。,I believe people who tell me the truth.
40,あなたは中国で有名なその歌を聴いたことがありますか。,Have you heard the song which is famous in China?  
41,私は他人の気持ちを理解できる人になりたいです。,I want to be a person who can understand others' feelings.
42,あのベンチに座っている高齢の女性は私の祖母です。,The old woman who is sitting on that bench is my grandmother.
43,これは長い間使われている古い道具です。,This is an old tool that has been used for a long time.
44,彼はいつも他人に親切な少年です。,He is a boy who is always kind to others.
45,あの店で売っている靴はとても人気があります。,The shoes that are sold at that store are very popular.
46,これは私たちに希望を与えてくれる歌です。,This is a song that gives us hope.
47,私はいつも約束を守る友達が欲しいです。,I want a friend who always keeps promises.
48,私の家の近くにいる犬はいつも吠えています。,The dog that is near my house is always barking.
49,これは多くの異なる意見がある議論です。,This is a discussion which has many different opinions.
50,あれは重要な出来事を記録した文書です。,That is a document that records important events.
51,これは未来を変える力を持つ発明です。,This is an invention that has the power to change the future.
52,あの本棚にあるすべての本は興味深いです。,All the books that are on that bookshelf are interesting.
53,彼女は自分のミスから学ぶことができる人です。,She is a person who can learn from her mistakes.
54,あの橋を渡っている人々は急いでいます。,The people who are crossing that bridge are in a hurry.
55,その袋の中に入っている果物は新鮮です。,The fruit which is in the bag is fresh.
56,一番早く来た生徒は誰ですか。,Who is the student that came earliest?
57,壁にあるそのカレンダーは古いです。,The calendar which is on the wall is old.
58,私たちは世界中で歌われているその歌を歌いたいです。,We want to sing the song that is sung all over the world.
59,隣の部屋から聞こえる音は何ですか。,What is the sound which is coming from the next room?
60,この公園にある花はとても良い香りがします。,The flowers which are in this park smell very nice.
